,smiles
0,C1=CC=2C(=CNC2C=C1)C=3C=CN=CC3
2,O=C1C=2C=CC=CC2C3=NC4=NN=NN4N=C13
5,CC=1NN=CC1C2=CC=C(CCN)C=C2
6,C1=CC(=CC2=C1OCO2)/C=C/N(=O)=O
7,S1N(C(N(C1=O)CC=2C=CC=CC2)=O)C
8,O(C=1C=C(C=CC2=CC=NC=C2)C=NC1)C
9,ClC=1C=C2C=3N=CN=C(O)C3OC2=CC1
10,NCCCC=1C=CC(=CC1)C2=CNN=C2
11,OC=1C(=CC=C(N2CCOCC2)C1)C(=O)C
12,OC=1C=CC(=CC1)C2=NC3=NC=CNC3=C2CCCC
13,O1N=C(N)C=2C(C3=CC(O)=CC=C3)=CC=CC12
14,C=1(O)C=2SC=3C(Cl)=CC=C(Cl)C3C2N=CN1
15,C1C=2NC(=CC2C(NC1)=O)C=3C=CN=CC3
16,CC(C)(C)C1=CC(C=C(C#N)C#N)=CC(=C1O)Br
17,C1CN(C=2C3=C(N=CN2)NN=C3)CCC1CN
18,C=1C(=C(C#N)C(OCC)=NC1NC(C)=O)N
19,C=1C=C2S/C(/N(CC)C2=CC1OC)=C\C(=O)C
22,S1C2=C(N=CN=C2N)C=3C1=NC=NC3N
23,N=1NC=C(C=2C=CC(CCN)=CC2)C1C
24,FC=1C=CC(C2=NN(C=C2C3=NC=NC=C3)C)=CC1
25,BrC1=CC=C(C=2C=3C(=NNC3N)C=CC2)C=C1
27,C1C(CCN(C1)C=2N=CN=C3C2N=CN3)N
28,ClC1=NC=C(OCC(N)C)C=C1C=CC2=CC=NC=C2
29,S(C=1C=2C(NC1)=NC=NC2NCCCO)C
31,BrC=1C=C2C(C=3C=CC=CC3)=CNC2=NC1
32,BrC1=C2SC3=C(N=C(OC3=O)C)C2=C(Cl)C=C1
33,ClC=1C=2C(SC1)=NC=NC2NC=3C=CC=CC3
34,OC1=NC=2C(N1)=NC=C(C2)C3=CC=CC=C3
35,N=1C=2N(C=C(C=3C=CC(OC)=CC3)C1)N=CC2Br
36,BrC1=C2SC(=C(N)C2=C(Cl)C=C1)C(=O)N
37,BrC1=CC=2C(=NNC2C=C1)C3=CC=CC=C3
38,O(C=1C=C(C=NC1)C=CC2=CC=NC=C2)CCN
40,N=1C=NC2=C(N=CN2)C1N3CCC(CN)CC3
41,N1C2=C(N=CN=C2N=C1)C=3C=CC(CCN)=CC3
42,S1C(N(=O)=O)=CN=C1NC(=O)NCC2=CC=CC=C2
43,O=C1NCCC=2C3=C(NC21)C=CC(=C3)C(OCC)=O
44,ClC1=NN=C2NC=3C(NC(=O)C2=C1)=CC=CC3
45,S(C=1C(O)=C2C(=NC1)C3=C(C=C2)C=NC=C3)C
46,C1C(CCN(C1)C=2C3=C(N=CN2)NN=C3)N
47,O(C1=CC(NC2=NC(=NC=C2)N)=CC=C1)CCN
48,IC=1C=2C(N(C1)CC(O)C(O)CN)=NC=NC2N
49,ClC1=CC(C2=NNC=C2C3=NC=NC=C3)=CC=C1Cl
50,ClC=1C2=C(SC1)N=CN=C2NC=3C=CC(O)=CC3
51,ClC=1C(C2C=3C(OC(=N)C2C#N)=NNC3C)=CC=CC1
53,ClC1=CC=2N=C3C(SC2C=C1)C(=O)CC(C3)(C)C
55,ClC1=C2C(=NC=3C1=CC(SC)=CC3)C(=O)NCC2
56,O(C=1C=C(C=NC1)C=CC2=CC=NC=C2)C3CNCC3
57,C1(=CC=C2C(=C1)C=NN2)C=3N=C4N(C3)C=CC=N4
58,ClC1=C2C(NC(=O)C)=C(SC2=CC=C1Cl)C(=O)N
59,O=C(N)C1=C2NC(=NC2=CC=C1)C=3C=CN=CC3
60,C=1C(=NC(=NC1O)NC2CCCCC2)C=3C=CN=CC3
61,S1C2=C(C(C=3C=CC=CC3)=CN=C2)C=C1C(=O)N
62,S1C2=C(C(C=3C=CC(F)=CC3)=CN=C2)C=C1C(=O)N
64,IC=1C=2N(C=C(N2)C3=CC=CC=C3)C(O)=NC1
65,IC1=NN=C2NC=3C(NC(=O)C2=C1)=CC=CC3
66,O=C(C1=CC(C=2C=C3C(=NC2)NC=C3)=CC=C1)C
67,BrC1=CC2=C(C=3SC(S)=NC3O)C(=O)N=C2C=C1
68,O=C(NC=1C=CN=CC1)C2CCC(CC2)C(N)C
69,C1=C(N=C2C(C3=C(C(=NC=N3)N)S2)=C1C)C
70,NC1=NON=C1C2=NC=3C=NC=CC3N2C4CCCCC4
71,S1C2=C(C(C3=CC(F)=CC=C3)=CN=C2)C=C1C(OC)=O
72,O(C=1C=C(C=NC1)C=CC2=CC=NC=C2)CCCN
73,IC=1C(C2C=3C(OC(=N)C2C#N)=NNC3C)=CC=CC1
74,C1(=C(C=C2C(=C1)C(C=3C(=NOC3O)N2CC)=O)Cl)F
75,O(C=1N=C(NC(=O)C)C=C(N)C1C#N)CCC
