Ref.,Morgan Scores (Cos.),Searched Mols (Cos.),Morgan Scores (Euc.),Searched Mols (Euc.),Morgan Scores (Ours),Generated Mols (Ours),Morgan Scores (Pre-trained hierVAE),Generated Mols (Pre-trained hierVAE)
Brc1ccc(NC(=O)C2(CCCCC2)N(Cc2ccco2)C(=O)c2ccccn2)cc1,0.1,COc1cc2CC(C)(C)n3c(cc4nc5ccccc5nc34)-c2cc1OC,0.08,Clc1cccc(Cl)c1N=C1NCCN1,0.18,CC1CCCCOC(CN(C)Cc2ccc(C(F)(F)F)cc2)C(C)CN(C(C)CO)C(=O)c2cc(NC(=O)c3ccncc3)ccc2O1,0.17,CN(C)CCCCCNC(=O)CC12OCCCC1(CO)c1cccc(NC(=O)Cc3ccncc3)c1O2
Brc1ccc(cc1)-c1csc(n1)N1CCC(CC1)C(=O)NCc1ccccc1,0.25,CN(Cc1ccccc1)C(=O)C2CCCN(Cc3ccccc3C(F)(F)F)C2,0.12,CC(=O)Nc1ccc(CC(O)=O)cc1,0.19,CC(C)NCc1ccc(-c2ccc(Cl)cc2)cc1,0.11,O=C(O)CC(NC(=O)c1cc(F)c(F)c(F)c1)C(=O)NCCN1CCCCC1
C(CN1CCOCC1)Sc2nc3ccccc3n2Cc4ccccc4,0.12,OC(=O)c1cccnc1Nc1cccc(c1)C(F)(F)F,0.17,Fc1ccc(Cc2n[nH]c(=O)c3ccccc23)cc1C(=O)N1CCN(CC1)C(=O)C1CC1,0.21,CC1CN(C(C)CO)C(=O)c2cc(NC(=O)CCN3CCOCC3)ccc2OC1CN(C)Cc1ccc(C(F)(F)F)cc1,0.11,CC1COCC(C)C(=O)C(CN(C)C)C(C)OC(CN(C)Cc2ccc(C(F)(F)F)cc2)CC(=O)N(C(C)CO)C1
C(Nc1ncnc2ccc(cc12)-c1ccc2OCOc2c1)C1CCCCO1,0.07,CO[C@H]1C=CO[C@@]2(C)Oc3c(C2=O)c2C4=NC5(CCN(CC(C)C)CC5)NC4=C(NC(=O)C(C)=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C(=O)c2c(O)c3C,0.13,COc1ccc(cc1OC1CCCC1)C1CNC(=O)C1,0.18,CC1CCCCOC(CN(C)Cc2ccccc2C(F)(F)F)C(C)CN(C(C)CO)C(=O)c2cc(NC(=O)c3ccncc3)ccc2O1,0.17,CC1CCCCOC(CN(C)C(=O)CCC(F)(F)F)C(C)CN(C(C)CO)C(=O)c2cc(NS(=O)(=O)c3ccccc3)ccc2O1
C/C=C/c1ccc2c(O[C@@H](CN(C)C(=O)Cc3cccnc3)[C@@H](C)CN([C@@H](C)CO)S2(=O)=O)c1,0.26,COc1ccc(cc1)S(=O)(=O)N(C)C[C@@H]2Oc3ncc(/C=C/c4ccccc4)cc3C(=O)N(C[C@H]2C)[C@@H](C)CO,0.17,COCC(=O)Nc1ccc2OC[C@H](C)N(C[C@H](C)[C@H](CN(C)C(=O)c2c1)OC)C(=O)c1ccccc1,0.43,CC(C)CC#Cc1ccc2c(c1)OC(CN(C)Cc1ccccn1)C(C)CN(C(C)CO)S2(=O)=O,0.16,CC1COCc2cccc(NC(=O)CCC(F)(F)F)c2N(C(C)CO)CC2(CCCCC2O)C(=O)OCC(C)C1C
C/C=C/c1ccc2c(O[C@@H](CN(C)C(=O)Cc3cccnc3)[C@@H](C)CN([C@H](C)CO)S2(=O)=O)c1,0.2,CC(C)NC(=O)Nc1ccc2O[C@H](C)CCCCO[C@H](CN(C)C(=O)NC3CCCCC3)[C@H](C)CN([C@H](C)CO)C(=O)c2c1,0.16,COc1ccc(cc1)[C@@H]1Sc2ccccc2N(CCN(C)C)C(=O)[C@@H]1OC(C)=O,0.43,CC(C)NC(=O)N(C)CC1Oc2cc(-c3ccc(C(=O)N(C)C)cc3)ccc2S(=O)(=O)N(C(C)CO)CC1C,0.14,COc1cccc2c1c1c(n2C)CC(CO)N(CC2CC2)C12CCN(Cc1cncnc1)C2
C/C=C/c1ccc2c(O[C@@H](CN(C)C(=O)Cc3cccnc3)[C@H](C)CN([C@@H](C)CO)S2(=O)=O)c1,0.15,CCCNC(=O)N1C[C@H](C)[C@H](CN(C)C(=O)c2ccc(NS(=O)(=O)CC(F)(F)F)cc2OC[C@H]1C)OC,0.07,Clc1cccc(Cl)c1N=C1NCCN1,0.37,CC1CN(C(C)CO)S(=O)(=O)c2ccc(-c3ccccc3C#N)cc2OC1CN(C)Cc1ccc(C(F)(F)F)cc1,0.25,Cc1noc(C)c1C(=O)Nc1ccc2c(c1)CC(=O)N(C(C)CO)CC(C)C(CN(C)C)O2
C/C=C/c1ccc2c(O[C@@H](CN(C)C(=O)Cc3cccnc3)[C@H](C)CN([C@H](C)CO)S2(=O)=O)c1,0.12,CN(C)[C@H]1C2CC3C(C(=O)c4c(O)cccc4[C@@]3(C)O)C(=O)[C@]2(O)C(=O)C(C(=O)NCN5CCCC5)C1=O,0.12,CNCCCCOc1ccccc1Cc1ccccc1,0.38,CC1CN(C(C)CO)S(=O)(=O)c2ccc(C3=CCCCC3)cc2OC1CN(C)Cc1ccc(C(F)(F)F)cc1,0.13,CC(C)(C)C(=O)NC(Cc1ccc(O)cc1)C(=O)O
C/C=C/c1ccc2c(O[C@@H](CN(C)C(=O)Nc3cccc(F)c3)[C@@H](C)CN([C@@H](C)CO)S2(=O)=O)c1,0.14,O[C@@H]1COC[C@@H]2O[C@H](CC(=O)NCCc3ccncc3)CC[C@H]2N(Cc2cccc(c2)C(F)(F)F)C1,0.11,CNCCCCOc1ccccc1Cc1ccccc1,0.41,CNCC1Oc2cc(C#Cc3ccccc3F)ccc2S(=O)(=O)N(C(C)CO)CC1C,0.01,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC1(C)CCCCC1
C/C=C/c1ccc2c(O[C@@H](CN(C)C(=O)Nc3cccc(F)c3)[C@@H](C)CN([C@H](C)CO)S2(=O)=O)c1,0.38,C[C@H](CO)N1C[C@@H](C)[C@@H](CN(C)S(=O)(=O)c2cn(C)cn2)Oc3cc(ccc3S1(=O)=O)C4=CCCCC4,0.11,Cc1ccc(cc1)S(=O)(=O)NC(=O)NN1CCCCCC1,0.41,Cc1ccccc1-c1ccc2c(c1)OC(CN(C)Cc1ccc(C(=O)O)cc1)C(C)CN(C(C)CO)S2(=O)=O,0.09,CC(C)c1cc(CN2CCN(CCC(=O)NCCCN3CCN(C)CC3)CC2)c(C(C)C)c(C(C)C)c1C(C)C
