Knock-out Genes,Method Names,MACCS Scores,The Most Similar Inhibitors,Result Mols
AKT1,Cosine Search,0.86,C=1(C(NS(C=2C=CC(F)=CC2)(=O)=O)=CC(=CN1)C=3C=CC=4N(C3)C=C(N4)NC(C)=O)Cl,CC1Nc2cc(Cl)c(cc2C(=O)N1c1ccccc1C)S(N)(=O)=O
AKT1,Cosine Search,0.78,O=C1NC=2C(NC=3C1=CC=C(C3)C=4C=C(OC)C(OCC(O)CO)=CC4)=CC=C(C2)CCOC5=CC=C(N6CCOCC6)C=C5,COc1ccc(C[C@H](N)C(=O)N[C@@H]2[C@@H](CO)OC([C@@H]2O)n2cnc3c(ncnc23)N(C)C)cc1
AKT1,Cosine Search,0.68,FC=1C=C([C@@H](CNCC2CC2)C(=O)N3CCN(CC3)C=4N=CN=C5C4[C@@H](C[C@H]5O)C)C=CC1C(F)(F)F,OC[C@@H]1[C@H]2Cn3c(cccc3=O)[C@H]2N([C@H]1C(=O)NCC(F)(F)F)C(=O)C1CC1
AKT1,Cosine Search,0.72,ClC1=CC=C([C@H](C(=O)N2CCN(C=3N=CN=C4C3[C@@H](C[C@H]4O)C)CC2)CNCC5CCOCC5)C=C1,CN1CCN(CC1)C(=O)C[C@@H]1CC[C@@H]2[C@H](COC[C@@H](O)CN2Cc2cccc(F)c2)O1
AKT1,Cosine Search,0.76,C1(O[C@@H](CC(C(=CC([C@H]([C@H](C([C@@H](C[C@@H](C=CC=CC=C([C@H](C[C@H]2O[C@](C(C(N3[C@H]1CCCC3)=O)=O)(O)[C@@H](CC2)C)OC)C)C)C)=O)OC)O)C)C)=O)[C@@H](C[C@H]4C[C@@H](OC)[C@H](O)CC4)C)=O,C[C@H]1[C@H]2[C@H](Cc3ccccc3)NC(=O)[C@]22OC(=O)C=C[C@H](O)CCC[C@@H](C)CC=C[C@H]2[C@H](O)C1=C
AKT1,Cosine Search,0.65,C=1N=CC=2SC(C=3N=C(ON3)O)=CC2C1OC4=CC=C(C=C4)I,OC(=O)c1ccccc1-c1noc(n1)-c1ccccc1F
AKT1,Cosine Search,0.76,C=1(N=CN=C2C1C(C)=NN2)N3CCC4(CCCN(C[C@@H](CN(S(C5=C(C=CC=C5C)C)(=O)=O)CCOCC)O)C4)C3,CCN[C@H]1CN(CCCOC)S(=O)(=O)c2sc(cc12)S(N)(=O)=O
AKT1,Cosine Search,0.75,C12=C(C(=O)NC1=O)C=3C=4N(C=CC4C=CC3C5=C2C6=C(C(CCCN[C@H]7CC[C@@H](CC7)O)=CC=C6)N5)C,COC(=O)[C@H]1[C@@H](O)CC[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@H]12
AKT1,Cosine Search,0.73,FC=1C=C([C@H](C(=O)N2CCN(C=3N=CN=C4C3[C@@H](C[C@H]4O)C)CC2)CNC(CO)(C)C)C=CC1C(F)(F)F,C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)C(=O)Nc2ccc(cc2)C(F)(F)F)Oc3ccc(NC(=O)Cc4ccccc4)cc3C1=O
AKT1,Cosine Search,0.74,C12(CN(C[C@@H](CN(CCOCC)S(C3=CC=CC=C3F)(=O)=O)O)CCC1)OC=4C=CC(=CC4C(C2)=O)O,OC[C@@H]1O[C@H](CC(=O)NCCCN2CCOCC2)C=C[C@@H]1NS(=O)(=O)c1ccccc1F
