Epoch,scGPT,Geneformer,scBERT
1,8.338975129,10.36695168,5.542233783
2,8.260818111,9.053493877,5.534588525
3,8.213308635,8.054392607,5.535282446
4,8.109440751,7.93997752,5.532808592
5,7.934867011,7.564301172,5.535776032
6,7.67859602,7.026475191,5.520950795
7,6.998694438,5.881842001,5.517487038
8,4.017248697,8.584842353,5.519128378
9,1.879225527,11.08299803,5.524951356
10,1.063270673,11.08935416,5.519284177
11,0.797895988,13.41098214,5.525185002
12,0.767776163,8.594962713,5.529731043
13,0.638389075,,
14,0.438687437,,
15,0.451904402,,
16,0.532328072,,
17,0.400836796,,
18,0.359721964,,
19,0.500940512,,
20,0.363149429,,
21,0.367216977,,
22,0.306145338,,
23,0.387981494,,
24,0.333082666,,
25,0.421234236,,
26,0.444708317,,
27,0.35553097,,
